8;4903082;"SILURUS"
8;4903176;"SIMIA"
8;4906247;"SPARUS"
8;4907572;"SPHEX"
8;4907668;"SPHINX"
8;4909819;"STAPHYLINUS"
8;4912694;"STROMATEUS"
8;4918620;"TABANUS"
8;4919734;"TANTALUS"
8;4921876;"TENEBRIO"
8;4922013;"TENTHREDO"
8;4923530;"TETRAODON"
8;4926712;"THRIPS"
8;4932606;"TRIGLA"
8;4933962;"TRITON"
8;4942063;"VESPA"
8;4945587;"VOLUTA"
8;4971903;"AEGYPTOSCELIO"
8;4979692;"FUSICORNIA"
8;4997242;"AFROSCELIO"
8;5057305;"PSEUDOHEPTASCELIO"
8;5060021;"SCELIOCERDO"
8;5062591;"SYNODITELLA"
8;5085395;"FALSIVALGOTHROMBIUM"
8;5096982;"MACVICARIA"
8;5135054;"AUSTRALUTICA"
8;5135178;"ORTHOPTEROSEIUS"
8;5153821;"ITYCIRRHITUS"
8;5153822;"CRISTACIRRHITUS"
8;5153823;"NOTOCIRRHITUS"
8;5157478;"PRIMAGISTEMUS"
8;5157543;"WETAPOLIPUS"
8;5157834;"GYMNOAMBLYOPUS"
8;5160428;"KENYACONGER"
8;5160870;"CHROMOBOTIA"
8;5163863;"ATHRIX"
8;5164166;"PRORIVULUS"
8;5164246;"LUMBRICUS"
8;5319583;"NANOTROMBIUM"
8;5319584;"DASITROMBIUM"
8;5875115;"LOPHYRA"
8;5952672;"HELICONIUS"
8;5959257;"SCELIO"
8;6765872;"ANTERIS"
8;12149244;"COCCINELLA"
8;12149246;"AVES"
8;12149247;"CICADA"
8;12149255;"CHAETODON"
8;12149256;"CHAETODON"
8;12149257;"PAPILIO"
8;12149261;"GRYLLUS"
8;12149263;"GRYLLUS"
8;12149266;"APHIS"
8;12149269;"ICHNEUMON"
8;12149270;"DERMESTES"
8;12149272;"CIMEX"
8;12149280;"PISCES"
8;12149295;"PEDICULUS"
8;12149300;"CICADA"
8;12149303;"GRYLLUS"
8;12149304;"LEPIDOPTERA"
8;12149307;"SALMO"
8;12149308;"THRIPS"
8;12149310;"INSECTA"
8;12149317;"COBITIS"
8;12149321;"CHAETODON"
8;12149325;"APHIS"
8;12149326;"STAPHYLINUS"
8;12149327;"PAPILIO"
